community_area,address
NEAR NORTH SIDE,626 640 N Michigan
Bridgeport,3500 S Sangamon
,1643 N Milwaukee Avenue
HYDE PARK,5736 5752 S STONY ISLAND AVE
Lower West Side,2455 S Damen Ave
Loop,1001 S STATE ST
SOUTH SHORE,7616  S SOUTH SHORE DR
NEAR NORTH SIDE,230 E Ohio St
NORWOOD PARK,5900 N Nina Ave
WOODLAWN,6125  S KENWOOD AVE
SOUTH DEERING,1655 E 95th St
Logan Square,2501 N ELSTON AVE
LINCOLN PARK,1237 W Fullerton Ave
Uptown,804 W MONTROSE AVE
LOOP,225 W Wacker Dr
WEST GARFIELD PARK,3828 W Taylor St
UPTOWN,4040  N SHERIDAN RD
WEST TOWN,1424 N Cleaver Street
NEAR NORTH SIDE,412 N Wells St
RIVERDALE,13100 S Carver Dr
DOUGLAS,3663 S Wabash Ave
NEAR WEST SIDE,1447 S Ashland Ave
,1140 N La Salle Dr
LAKE VIEW,421  W BARRY AVE
LINCOLN PARK,1920 N Clark St
EAST GARFIELD PARK,300 N Central Park Ave
WOODLAWN,421  E 62ND ST
NEAR NORTH SIDE,1550 N Wieland St
HYDE PARK,800 E 55th St
WEST PULLMAN,11710 S Morgan St
LOOP,35 N State St
NEAR WEST SIDE,625 631 W JACKSON BLVD
ROGERS PARK,7455 7469 N GREENVIEW AVE
,1375 Fulton
,1335 W FARGO AVE
Washington Park,5504 S Michigan Ave
LOOP,730 South Clark Street
GARFIELD RIDGE,5839  S HARLEM AVE
LINCOLN PARK,2219 N Kenmore Ave
LINCOLN PARK,2440 N Lakeview Ave
HERMOSA,4626 W Diversey Ave
EDGEWATER,6301 N Sheridan Rd
LOOP,11 S LaSalle St
LOOP,24 E Congress Pkwy
NEAR NORTH SIDE,1311 N Halsted
NEAR WEST SIDE,300  S DAMEN AVE
WEST RIDGE,7416 N Ridge Rd
NEAR NORTH SIDE,1119 N Cleveland Ave
LINCOLN SQUARE,2701 W Foster Ave
NEAR NORTH SIDE,455 N Cityfront Plaza Dr
GRAND BOULEVARD,4655 S Dearborn St
North Lawndale,3750 W OGDEN AVE
NEAR NORTH SIDE,747 N Wabash Ave
,2071 N Southport Avenue
IRVING PARK,3633 N California
NEAR WEST SIDE,1901 1945 CARROLL AVE
Douglas,3137 S FEDERAL ST
LINCOLN PARK,625  W WRIGHTWOOD AVE
LOOP,121 N LaSalle St
FULLER PARK,5101 S PRINCETON
LOOP,100 N LaSalle St
Douglas,3300 S FEDERAL ST
NEAR NORTH SIDE,913 949 W North Ave
Lake View,2950 N SHERIDAN RD
KENWOOD,4900 4918 S DREXEL BLVD
UPTOWN,833  W BUENA AVE
LOOP,400 S State St
JEFFERSON PARK,5025 N Laramie Ave
WASHINGTON PARK,6236-44 S King Dr
LAKE VIEW,532 542 W BRIAR PL
North Center,3946 N Ravenswood Ave
NEAR NORTH SIDE,999  N LAKE SHORE DR
NEAR NORTH SIDE,20  E CEDAR ST
HYDE PARK,5735 S Ellis Ave
LOOP,190 S LaSalle St
LOOP,30 E Lake St
ALBANY PARK,4929 N Sawyer Ave
NEAR NORTH SIDE,1430  N LAKE SHORE DR
ROGERS PARK,7645  N SHERIDAN RD
LINCOLN PARK,2000 - 2052 N Lincoln Park West
SOUTH SHORE,7321 S South Shore Dr
LINCOLN PARK,2550 N Lakeview Ave
MONTCLARE,6640 50 W Belden Ave
HYDE PARK,1700 E 56th St
HYDE PARK,5100  S HYDE PARK BLVD
WEST LAWN,7601 S KOSTNER AVE
EDGEWATER,5631 5635 N KENMORE AVE
LINCOLN PARK,2026  N CLARK ST
OAKLAND,4048  S LAKE PARK AVE
NEAR NORTH SIDE,645 N Michigan Ave
LOOP,111 S Wacker
NEAR WEST SIDE,626 W Jackson Blvd
NEAR NORTH SIDE,219 227 E LAKE SHORE DR
AUSTIN,321  N CENTRAL AVE
WEST TOWN,1111  N FRANCISCO AVE
SOUTH SHORE,7130 S CYRIL CT
NEAR WEST SIDE,330 N Jefferson Ct
NEAR WEST SIDE,555 W Madison St
LOOP,11 E Adams St
UPTOWN,4521 4523 N MALDEN ST
NEAR SOUTH SIDE,5 E 14th Pl
Austin,416 N LARAMIE AVE
LOOP,33 N LaSalle St
NEAR WEST SIDE,1300 W Jackson Blvd
WASHINGTON PARK,6059 S Wabash Ave
LAKE VIEW,832 W Sheridan Rd
HYDE PARK,5309 5343 S HARPER AVE
CHATHAM,8300 S Cottage Grove Ave
NEAR NORTH SIDE,1244 N Dearborn St
LOOP,407 415 S DEARBORN ST
EDGEWATER,1016 1030 W BALMORAL AVE
AUBURN GRESHAM,1626  W 87TH ST
Lake View,3201 N ASHLAND AVE
LINCOLN PARK,2740 2750 N HAMPDEN CT
WEST LAWN,3849 W 69th Pl
LOOP,411 - 415 S Wells St
LAKE VIEW,3900 N Lake Shore Dr
ALBANY PARK,4447 N Kedzie Ave
NEAR WEST SIDE,2130 2140 W Fulton St
KENWOOD,5000  S CORNELL AVE
WEST RIDGE,5650 N Mozart St
NEAR NORTH SIDE,405 N Wabash Ave
SOUTH SHORE,7355 S Jeffrey Blvd
Near West Side,123 N Desplaines St
LOOP,1154 S Clark St
SOUTH LAWNDALE,2400 S Marshall Blvd
North Park,3900  W BRYN MAWR AVE
NEAR WEST SIDE,1522 W Fillmore Blvd
PORTAGE PARK,4612 - 4730 W Irving Park Rd
,8 E Huron St
NEAR NORTH SIDE,1335 1343 N ASTOR ST
EAST GARFIELD PARK,2910 W Washington Blvd
LINCOLN PARK,1717 N Crilly Ct
NEAR NORTH SIDE,375 425 W Erie St
KENWOOD,936  E 47TH ST
NEAR SOUTH SIDE,1300 S Lake Shore Dr
LINCOLN SQUARE,5110 N Damen Ave
HYDE PARK,5514 5524 S CORNELL AVE
LAKE VIEW,517 525 W BROMPTON AVE
AVONDALE,2430 2458 W GEORGE ST
HUMBOLDT PARK,3814 W Iowa St
Near North Side,61 E Banks Street
NEAR NORTH SIDE,1448 N Lake Shore Dr
NEAR WEST SIDE,401 S Clinton St
Uptown,4555 N SHERIDAN RD
LOOP,140 S Dearborn St
LINCOLN PARK,990 W Fullerton Ave
Loop,20 N State St
Near South Side,1411 S Michigan Avenue
WASHINGTON HEIGHTS,8915  S LOOMIS ST
LOOP,537  S DEARBORN ST
NEAR NORTH SIDE,400 N McClurg Ct
SOUTH SHORE,6700  S CONSTANCE AVE
Edgewater,6350 N Kenmore Ave
,3859 S. Vincennes Avenue
LOOP,333 S Wabash Ave
HUMBOLDT PARK,800 N Kedzie Ave
ROGERS PARK,1340  W MORSE AVE
LOOP,56 60 W Randolph St
,6547 N Harlem Avenue
