community_area,address
LAKE VIEW,828 W Grace
DUNNING,6460 W Belle Plaine Ave
NEAR SOUTH SIDE,1909 1935 S STATE ST
WEST TOWN,515-517 N. Noble St.
LAKE VIEW,3100 N. Lake Shore Drive
DOUGLAS,2801 S King Drive
LAKE VIEW,740 750 W ADDISON ST
LINCOLN PARK,2756-64 N. Pine Grove Ave.
BELMONT CRAGIN,2250 N Latrobe Ave
MCKINLEY PARK,3525 S. Honroe
NEAR WEST SIDE,740 S CAMPBELL AVE
Loop,1001 South State Street
ALBANY PARK,4540 N Hamlin Ave
LOGAN SQUARE,2207-19 N. Rockwell/2519-75 West Lyndale Street
MOUNT GREENWOOD,3807 W 111th St
WEST TOWN,1440 W AUGUSTA
CHATHAM,8101-25 S Ingleside
NEAR NORTH SIDE,1111 W. DIVISION ST.
ROSELAND,11445 S State St
LAKE VIEW,3900 N Lake Shore Drive
NEAR WEST SIDE,1519 West Warren Boulevard
SOUTH LAWNDALE,3120 S Kostner Ave
LOOP,623 S Wabash
BELMONT CRAGIN,3020 N Lamon Ave
UPTOWN,820 W. Belle Plaine
HYDE PARK,5724-5734 S. Blackstone Ave.
LINCOLN PARK,2312 N. Clifton
WEST TOWN,939 W. Huron St.
ROGERS PARK,7645 N SHERIDAN RD
ROGERS PARK,1230 West Greenleaf
North Center,4434-4444 N. Damen
AVONDALE,3300 W. Belmont Avenue
LINCOLN PARK,2746 N. Clybourn Avenue
WEST TOWN,838 N Noble St
NEAR NORTH SIDE,101 E Erie St
LOOP,303 E. Wacker
LAKE VIEW,3150 N. Lake Shore Drive
AUBURN GRESHAM,1050 W. 79th
LOWER WEST SIDE,329 West 18th Street
NEAR WEST SIDE,737 W. Washington Street
NEAR NORTH SIDE,455 North Cityfront Plaza Drive
LOOP,221 North LaSalle Street
PORTAGE PARK,4572 N Milwaukee Ave
LOGAN SQUARE,2242 N. Kedzie Blvd.
NEAR WEST SIDE,1522 W FILLMORE BLVD
DOUGLAS,2851 S King Drive
NEAR WEST SIDE,820 S Carpenter St
NEAR NORTH SIDE,230 East Ohio Street
NEAR NORTH SIDE,170 W. Oak Street
LAKE VIEW,339 W. Barry Ave
UPTOWN,4521-23 N. Malden St.
NEAR WEST SIDE,1300 S Clinton St
ALBANY PARK,5061  N PULASKI RD
NEAR NORTH SIDE,750 N. Dearborn
WASHINGTON HEIGHTS,400 West 95th Street
WEST TOWN,935 W. Chestnut
ROGERS PARK,7736-7772 N. Sheridan Rd.
HYDE PARK,5540 S Hyde Park Blvd
NEAR NORTH SIDE,400 North LaSalle Drive
LINCOLN PARK,2016 N Orchard
NEAR SOUTH SIDE,1717 S. Prairie
LOOP,711 S Dearborn
GREATER GRAND CROSSING,7037 S Rhodes Ave
ASHBURN,8010 S KOSTNER AVE
IRVING PARK,4058 West Melrose St
LOOP,25 East Washington Street
CHATHAM,8235 S VINCENNES AVE
NEAR NORTH SIDE,33 W. Huron Street
OHARE,8755 W. Higgins Road
BRIDGEPORT,501-05 W 35TH ST
NEAR NORTH SIDE,1212 N Lake Shore Drive
LOOP,222 North LaSalle Street
SOUTH SHORE,6715 6723 S PAXTON AVE
BELMONT CRAGIN,3020 N Lamon Ave
LOOP,55 East Monroe Street
LOGAN SQUARE,"2700-14 N Spaulding, 3300-3312 W. Schubert"
LINCOLN PARK,415 W. FULLERTON PKWY
PORTAGE PARK,5212 West Agatite
SOUTH SHORE,7345 S. South Shore Drive
LINCOLN SQUARE,1825 W Lawrence Ave
ROSELAND,10450 S Michigan
NEAR SOUTH SIDE,1335 South Prairie Avenue
NEAR WEST SIDE,1645 W Ogden
LOOP,205 W Wacker Dr
ALBANY PARK,5033 North Elston
LAKE VIEW,320 W. Oakdale Ave.
NORTH PARK,3850 W. Bryn Mawr Ave.
KENWOOD,4554 S Drexel Blvd
NEAR NORTH SIDE,800 810 N CLARK ST
SOUTH SHORE,7018 S. Creiger
SOUTH SHORE,7431 7445 S EAST END AVE
LOOP,77 W Washington
WEST TOWN,517-523 N. Halsted St.
LOOP,300 South Wacker Drive
Logan Square,2501 W Armitage Ave
NEAR SOUTH SIDE,1201 S Prairie Ave
Kenwood,1120-1126 E. 47th Street
Near North Side,311 W. Superior St.
LAKE VIEW,2912-2914 N. Commonwealth Ave.
GRAND BOULEVARD,747 E. 47th St
PORTAGE PARK,4650 N MENARD AVE
LOOP,100 North LaSalle Street
ENGLEWOOD,6531 S. Lowe Ave.
Near West Side,728 W Jackson Blvd
CHATHAM,8411 SOUTH HOLLAND ROAD
LAKE VIEW,331 W Surf Street
LINCOLN PARK,415 W. FULLERTON PKWY
WEST ENGLEWOOD,6130 S Wolcott Ave
BELMONT CRAGIN,6560 W Fullerton Ave
EDGEWATER,1423 W Bryn Mawr Ave
LOOP,521-531 S. Dearborn St.
NEAR WEST SIDE,1611 West Harrisons Street
LOGAN SQUARE,1934 N. Washtenaw Avenue
HYDE PARK,5758 S. Maryland Ave.
HYDE PARK,5541 S. Everett
GREATER GRAND CROSSING,7834 7844 S ELLIS AVE
NEAR WEST SIDE,547 W. Jackson Blvd.
NEAR SOUTH SIDE,1911 S INDIANA AVE
NEAR NORTH SIDE,737 N Michigan
AUSTIN,5670 W LAKE ST
LOOP,115 S. LaSalle Street
LINCOLN PARK,1340 1350 W FULLERTON AVE
AUBURN GRESHAM,8150 S Bishop St
MOUNT GREENWOOD,4200 W. 115th Street
NEAR NORTH SIDE,1119 N Cleveland Ave
NEAR WEST SIDE,555 West Monroe Street
DOUGLAS,533 E 33rd Place
LOOP,711 S Dearborn
EDGEWATER,5415 N. Sheridan Rd.
DOUGLAS,3455 S King Dr
RIVERDALE,13100 S Carver Dr
NEAR NORTH SIDE,21 W Chestnut St
SOUTH CHICAGO,8050 S Chappel Ave
NEAR WEST SIDE,305 N. Canal St
UPTOWN,4423 N. Sheridan Rd
UPTOWN,5050 N. Sheridan Rd.
HYDE PARK,5757 South University Avenue
EDGEWATER,5734 N Winthrop Ave
EDGEWATER,1606 1624 W Granville Ave
LINCOLN PARK,2350 N. Kenmore
NEAR NORTH SIDE,1400 N Lake Shore Drive
LINCOLN PARK,2358 N. Sheffield
GAGE PARK,5042 S Artesian Ave
Near North Side,430 W. Erie St.
NORTH PARK,5501 N Kedzie Ave
Lake View,3140 N Sheffield Ave
ENGLEWOOD,6554 S May St
LAKE VIEW,4332 N PAULINA ST
NEAR SOUTH SIDE,2025 S INDIANA AVE
NEAR NORTH SIDE,211 E Ohio St
NEAR SOUTH SIDE,2300 S Michigan Avenue
KENWOOD,4922-4942 S. Cornell
NEAR NORTH SIDE,1507-31 N CLYBOURN AVE
UPTOWN,4750 N Sheridan Road
AUBURN GRESHAM,1817 W. 80th St.
LAKE VIEW,3158-3184 N Clark Street
HYDE PARK,5825 S. Dorchester
LOOP,111 East Wacker Drive
HUMBOLDT PARK,4545 W. Division St.
EAST SIDE,9912 S AVENUE H
LOGAN SQUARE,2740 W. Armitage Avenue
NEAR NORTH SIDE,325 West Huron Street
NEAR WEST SIDE,123-125 S Green St.
LINCOLN PARK,1730 W Fullerton Ave
LOOP,14 East Jackson Blvd.
Rogers Park,6551 N Sheridan Rd
HYDE PARK,1442 E. 59th Street
KENWOOD,4922 4942 S CORNELL AVE
NEAR WEST SIDE,1901 West Madison St.
Near West Side,730 W Couch Pl
LOOP,536 S CLARK STREET
NEAR NORTH SIDE,551 W. North Avenue
NEAR WEST SIDE,120 South Riverside Plaza
UPTOWN,4750 N Sheridan Road
Near West Side,1241 - 1245 W Jackson Blvd.
NEAR NORTH SIDE,353 North Clark Street
NEAR WEST SIDE,120/120-134 North Green Street
UPTOWN,4521-23 N. Malden St.
NEAR NORTH SIDE,340 W. Superior
NEAR NORTH SIDE,633 North St Clair
NEAR NORTH SIDE,14 W Elm St
MONTCLARE,6640-6650 W. Belden Ave.
ASHBURN,7651 South Homan Ave
LINCOLN PARK,2512 N. Bosworth Ave.
LINCOLN PARK,1155 W Armitage Ave
NEAR NORTH SIDE,515 N Dearborn
SOUTH DEERING,1655 E. 95th Street
EDGEWATER,1020 West Thorndale Ave
NEAR SOUTH SIDE,1845 S. Michigan Ave
UPTOWN,4304-12 N. Sheridan Road
SOUTH LAWNDALE,2620 S Lawndale Ave
NEAR WEST SIDE,1001 W Madison
DOUGLAS,10 W. 31st street
WEST PULLMAN,11513 S Ada St
LAKE VIEW,2920 N. Commonwealth Ave.
WASHINGTON PARK,6000 S. Indiana Ave
DOUGLAS,3001 South King Dr
NEAR NORTH SIDE,550 N. Kingsbury St.
NEAR NORTH SIDE,360 W. Illinois Street
GAGE PARK,5042 S Artesian Ave
NEAR WEST SIDE,808 W Van Buren
LOGAN SQUARE,3127-45 W Palmer
LOOP,69 W. Washington Street
HYDE PARK,950 E. 59th St.
WEST TOWN,1044 N. Francisco Ave
DOUGLAS,2901 S King Drive
BRIGHTON PARK,4136 S California Ave
NEAR WEST SIDE,1164 W. Madison St.
UPTOWN,869 Buena
NEAR NORTH SIDE,1501 N State Parkway
LAKE VIEW,3539 N HALSTED ST
HYDE PARK,1715-1733 E. 53dr St.
PORTAGE PARK,3970-3982 Milwaukee Avenue
NEAR WEST SIDE,1500 W. Monroe Street
LOOP,899 S. Plymouth Court
WEST TOWN,2315 W. LeMoyne Ave.
LAKE VIEW,3200 N. Lake Shore Drive
NEAR NORTH SIDE,1333 North Kingsbury
EDGEWATER,6214-6218 N. Winthrop Ave.
OAKLAND,1061 E 41st Place
NORTH CENTER,4046 N Leavitt St
LOWER WEST SIDE,2200 S. Western Ave
NEAR WEST SIDE,130 S Jefferson
LINCOLN PARK,700 W Fullerton Ave
NEAR NORTH SIDE,375-435 W. Erie Street
BRIDGEPORT,3527 S Wallace St
South Shore,7511 S South Shore Dr.
NEAR NORTH SIDE,676 N Michigan Ave
NEAR NORTH SIDE,710 N Fairbanks Ct
WEST RIDGE,1818 W Peterson #900
ROGERS PARK,7451-7521
LOOP,610 S. Michigan Ave
KENWOOD,4901 S DREXEL BLVD
NEAR WEST SIDE,1504 W Van Buren St
HYDE PARK,5200-5208 S. Blackstone Avenue
NEAR NORTH SIDE,100 E Erie St
North Center,1800 West Roscoe
UPTOWN,4140 N Marine Dr
NEAR NORTH SIDE,21 E Huron Street
NEAR WEST SIDE,2111 W. Roosevelt Rd.
KENWOOD,4825 S. Drexel
WASHINGTON PARK,5531 South King Drive
LOOP,188 W Randolph St
BELMONT CRAGIN,2941 N Mcvicker Ave
EDGEWATER,6228-6240 N Winthrop Ave
LOOP,101 North Wacker Drive
DOUGLAS,601 E 32nd Street
HYDE PARK,5815 S. Maryland Av.
NEAR NORTH SIDE,710 N Fairbanks Ct
North Lawndale,3640 W FILLMORE ST
OHARE,8700 West Bryn Mawr Ave
HYDE PARK,5840 South Kenwood Avenue
NEAR WEST SIDE,130 South Canal Street
HYDE PARK,1500-1554 E 55th St
LOWER WEST SIDE,2800 South Western
NEAR SOUTH SIDE,320 E. 21st St.
NEAR NORTH SIDE,980 North Michigan Avenue
HYDE PARK,5100-5110 S. Cornell
LOOP,150 South Wacker
WEST LAWN,6700 S. Keating
ALBANY PARK,4730 N Kimball Ave
NEAR WEST SIDE,850 West Jackson
DOUGLAS,500 E. 33rd Street
LOOP,One South Wacker
NEAR NORTH SIDE,990 North Lake Shore Drive
HYDE PARK,950 East 59th St.
UPTOWN,1145 West Wilson Ave
LOOP,18-28 S. Michigan Avenue
NORTH CENTER,2500 2510 W IRVING PARK RD
SOUTH LAWNDALE,3000 S Lawndale Ave
HUMBOLDT PARK,3501 W Potomac Ave
LOOP,610 S. Michigan Ave
GAGE PARK,5250 S Rockwell St
LOOP,209 W. Jackson
LOOP,175 W. Jackson
NEAR NORTH SIDE,250 E Superior Street
NORTH LAWNDALE,1333 1339 S INDEPENDENCE BLVD
OAKLAND,3711 S VINCENNES AVE
EAST GARFIELD PARK,2651 W Washington Blvd
LINCOLN PARK,530 W. Arlington Pl.
LINCOLN PARK,1730 N Clark Street
HYDE PARK,1755-1765 E. 55th St.
LINCOLN PARK,660 W WRIGHTWOOD AVE
ENGLEWOOD,6201 S Stewart Ave
North Center,4434-4444 N. Damen
NEAR SOUTH SIDE,212 E. Cullerton
HYDE PARK,5631 S KIMBARK AVE
HYDE PARK,1660 E. 55th st
UPTOWN,4840 N Broadway St
NEAR SOUTH SIDE,1615 S Clark Street
NEAR NORTH SIDE,844 W. Rush Street
NEAR NORTH SIDE,179 East Lake Shore Drive
HEGEWISCH,13550 S. Avenue O
WEST RIDGE,6239 N LEAVITT ST
WASHINGTON PARK,5356 S King Dr
NORTH CENTER,3300 N Campbell
NEAR NORTH SIDE,211 W Scott
NEAR WEST SIDE,318 S Throop St
NEAR WEST SIDE,2040 W Adams
WEST PULLMAN,11710 S Morgan St
WASHINGTON PARK,6000 S. Indiana Ave
LOOP,111 West Wacker Drive
NEAR NORTH SIDE,70 W Burton Place
NORWOOD PARK,7240 West Foster Avenue
UPTOWN,4750 N Sheridan Road
LOOP,430 S. Michigan Ave
NEAR NORTH SIDE,1200 North Lake Shore Drive
SOUTH LAWNDALE,2345 S Millard Ave
LOOP,333 E. Benton Place
LAKE VIEW,550 W. Surf
LOOP,1169 S Plymouth
AUSTIN,2524 S Central Ave
LOOP,53 W. Jackson Blvd
NEAR NORTH SIDE,500-510 N. Dearborn St.
EAST GARFIELD PARK,919 S California Avenue
ROSELAND,226 W 104th St
NEAR NORTH SIDE,11 E Walton
NEAR NORTH SIDE,645 North Michigan Avenue
NEAR NORTH SIDE,325 North Wells
NEAR WEST SIDE,1312 South Racine
NEAR NORTH SIDE,1366 N Dearborn
DOUGLAS,3434 South Michigan Ave
EDGEWATER,5527 5539 N. Kenmore Ave.
GAGE PARK,5410 S Saint Louis Ave
WEST RIDGE,2025 w granville
LOGAN SQUARE,2758-2768 N. Milwaukee
EDGEWATER,1606 1624 W Granville Ave
NEAR NORTH SIDE,25 E. Pearson St.
CHATHAM,741 E 79TH ST
LINCOLN SQUARE,1800-1804 W. Lawrence Ave.
LOOP,916 S Wabash
LOOP,618 S. Wabash Ave.
HYDE PARK,949 E. 58th St.
LINCOLN PARK,2701-11 N. Mildred Ave
NEAR NORTH SIDE,735 N. State St.
LOWER WEST SIDE,1241 W 19th St
AUBURN GRESHAM,917 W 88th St
NEAR SOUTH SIDE,61 W. 15th St.
UPTOWN,4450 North Clark Street
NEAR WEST SIDE,1335 1345 W LAKE ST
NEAR NORTH SIDE,300-310 W. Grand Ave.
NEAR NORTH SIDE,1450 N Larrabee
NEAR NORTH SIDE,500-510 N. Dearborn St.
NEAR NORTH SIDE,444 North Wabash
Uptown,4848 N. Sheridan Rd.
MOUNT GREENWOOD,4200 W. 115th Street
BRIGHTON PARK,4250 S ROCKWELL ST
OHARE,8750 West Bryn Mawr Ave
ASHBURN,2815 W. 79th St
NEAR NORTH SIDE,600-820 N. Wabash St.
EDGEWATER,5220-5224 N Kenmore
Mount Greenwood,3659 w 99th Street
ASHBURN,3810 W 81st Place
NEAR NORTH SIDE,111 West Maple Street
SOUTH CHICAGO,8315 S Mackinaw Ave
HERMOSA,2828 N Kilbourn Ave
EDGEWATER,5630 N. Sheridan Ave
Englewood,901 West 63rd St
AUSTIN,645 South Central Ave
UPTOWN,901 W. Argyle Ave.
LOOP,24 W. Randolph
NEAR NORTH SIDE,211 East Grand
Greater Grand Crossing,255 W. 69th Street
Albany Park,3205 W Carmen Ave.
UPTOWN,910 W Lawrence Ave
HYDE PARK,5555 S. Everett Ave.
LAKE VIEW,1429 W. Wellington
LOOP,123 N Wacker
UPTOWN,4640 N. Sheridan
NEAR WEST SIDE,1653 W Congress Pkwy
GARFIELD RIDGE,5829 S. ARCHER AVE.
KENWOOD,5034-5040 S Woodlawn Ave
LINCOLN PARK,1749 N Wells Street
NORWOOD PARK,7342 Foster Ave
NEAR WEST SIDE,804-812 W. Van Buren St.
NEAR SOUTH SIDE,1601 S. State St.
NEAR NORTH SIDE,909 North Michigan Avenue
LOOP,30 East Lake Street
DOUGLAS,3201 South State Street
LAKE VIEW,421-31 W Barry Ave.
LAKE VIEW,3000 North Sheridan
LOOP,20 N. Michigan Ave
UPTOWN,1000 W. Leland Ave.
NEAR WEST SIDE,901-903 S Ashland Ave
LINCOLN PARK,2754 N. Hampden Ct.
Lincoln Park,2007 N Sedgwick
NEAR SOUTH SIDE,1629 S Prairie Ave
LAKE VIEW,3100 N. Lake Shore Drive
NEAR NORTH SIDE,1430 N. Lake Shore Dr.
NEAR NORTH SIDE,1330 N. LaSalle Dr.
EDGEWATER,6145-6147 N. Sheridan Rd.
WEST RIDGE,6200-42 N. Hoyne
WOODLAWN,1414 E 61st Pl
Rogers Park,1050 W Sheridan Rd
LOOP,65 W. Jackson
WOODLAWN,6045 South Kenwood Avenue
LINCOLN PARK,2650 N. Lakeview
UPTOWN,4541 N Sheridan
ROGERS PARK,1209 W Arthur Ave
LOOP,333 E. Benton
AUBURN GRESHAM,1050 W. 79th
ROGERS PARK,7121 7125 N Paulina
AUSTIN,4650 W. North Avenue
AVONDALE,3231 N Springfield
NEAR WEST SIDE,555 West Roosevelt Road
Logan Square,2501 N Elston Avenue
NEAR NORTH SIDE,420 East Ohio
NEAR WEST SIDE,765 West Adams St
EDISON PARK,7400 West Touhy
LAKE VIEW,1617-1633 W Belmont Ave
UPTOWN,4500 N CLARENDON AVE
ROSELAND,10935 s halsted
NEAR NORTH SIDE,535 North Michigan Avenue
LOOP,50 W. WASHINGTON
WEST RIDGE,6110 N Fairfield Ave
NEAR NORTH SIDE,1530 N State Parkway
EDGEWATER,5700 North Sheridan Road
NEAR NORTH SIDE,111 W Division St
EAST GARFIELD PARK,10 S. Kedzie Ave.
HYDE PARK,929 East 57th Street
LINCOLN PARK,1609 1641 N LASALLE DR
NEAR WEST SIDE,549 West Randolph Street
HYDE PARK,824-32 E 53rd St
BRIGHTON PARK,4520 S Kedzie Ave
LOOP,151 N Franklin St
South Shore,6700 S. Crandon
NEAR SOUTH SIDE,2024-2030 S. Wabash Ave.
Near North Side,1400 N State Parkway
ALBANY PARK,3244 W Ainslie St
WOODLAWN,6320 S Dorchester Ave
ALBANY PARK,4848 N. Kedzie Ave
LOOP,101 and 111 North State Street E
LINCOLN PARK,2350 N. Clifton Ave.
East Garfield Park,3210 West Arthington
NEAR NORTH SIDE,545 W Division
AVONDALE,3300 W. Belmont Avenue
Rogers Park,6511 N Sheridan Rd
NEAR NORTH SIDE,33 W Ontario
LOOP,400 E South Water St
SOUTH LAWNDALE,2400 S Marshall Blvd
NEAR WEST SIDE,1645 W. Jackson Blvd.
LINCOLN PARK,531 W. Deming Pl.
UPTOWN,4334 N Hazel St
HUMBOLDT PARK,3814 Iowa Street
ROGERS PARK,7455-7469 N. Greenview Ave.
SOUTH SHORE,1949 - 1959 E. 71st Street
NEW CITY,4845 S. Western Avenue
IRVING PARK,2939 W ADDISON ST
LOOP,50 S. LaSalle
UPTOWN,5040-5060 N Marine Drive
OAKLAND,3500 S Lake Park Ave Bldg 1
NEAR WEST SIDE,1300 S Clinton St
NEAR NORTH SIDE,314 West Superior Street
NEAR WEST SIDE,10 South Riverside Plaza
OAKLAND,3750 S Cottage Grove
BELMONT CRAGIN,3030 N MOBILE AVE
LOOP,20 North Clark Street
LINCOLN PARK,2314 N. Lincoln Park West
NORTH PARK,3447 3457 W FOSTER AVE
DOUGLAS,55 West 34th
LOOP,30 West Monroe
LOGAN SQUARE,2701 2749 N ELSTON AVE
NEAR WEST SIDE,330 N Green St
Near West Side,11 S Green St
ROGERS PARK,6830 N SHERIDAN
HYDE PARK,5325 S. Cottage Grove Ave
SOUTH SHORE,7201-09 S Yates Blvd.
Lake View,3151 N. Lincoln Ave/
LOOP,209 S. LaSalle
ARMOUR SQUARE,2734 South Wentworth Avenue
ARMOUR SQUARE,3120-3250 s. Wentworth Ave
WOODLAWN,1407 East 60th Street
BELMONT CRAGIN,2035 N Mobile Ave
South Shore,6700 S. Crandon
ENGLEWOOD,815 W 63rd Street
PULLMAN,11203 S Ellis St
NEAR NORTH SIDE,1350 N Astor Street
NEAR NORTH SIDE,1240 N. Lake Shore Drive
NEAR NORTH SIDE,737 N Michigan
LOOP,190 N. State Street
EAST GARFIELD PARK,919 S California Avenue
NORWOOD PARK,5225 N Oak Park Ave
LOOP,200 South Wacker Drive
HYDE PARK,947 E. 58th St.
WASHINGTON PARK,6015 S. Indiana
LOOP,200 N. Dearborn Street
WEST TOWN,1424 N Cleaver St
Loop,901 South Plymouth Court
LAKE VIEW,505 W BELMONT AVE
AUSTIN,543 N Waller Ave
LOGAN SQUARE,"2700-14 N Spaulding, 3300-3312 W. Schubert"
Irving Park,3611 W. Montrose Ave.
DOUGLAS,3455 S King Dr
LOGAN SQUARE,3127-45 W Palmer
NEAR WEST SIDE,550 W. Fulton
LOOP,19 South LaSalle
HYDE PARK,5700 S. Maryland Av.
NEAR WEST SIDE,820 S Carpenter St
NEAR NORTH SIDE,1530 N Dayton St
NEAR NORTH SIDE,424 West Division Street
NEW CITY,1000 W 52nd St
NEAR WEST SIDE,222 S. Racine Ave.
WEST TOWN,2145 W Grand Ave
NORWOOD PARK,5136 N. Nottingham Ave.
LINCOLN PARK,2650-2700 N. Clark St.
NEAR WEST SIDE,1201 W. Washington Blvd.
SOUTH SHORE,6920 Crandon Ave
KENWOOD,4537 S. Drexel St
GREATER GRAND CROSSING,6950 South Vincennes Avenue
NEAR SOUTH SIDE,1521 S. Wabash
LOOP,222 North LaSalle Street
LOOP,203 N LaSalle Street
LOGAN SQUARE,1850 N Hermitage Ave
HUMBOLDT PARK,3444 W WABANSIA AVE
NEAR NORTH SIDE,320 North Dearborn Ave
NEAR NORTH SIDE,333 E Ontario Street
NEAR NORTH SIDE,60-70 E. Scott St.
JEFFERSON PARK,5400 N. Northwest Highway
NEAR NORTH SIDE,372 West Ontario Street
Albany Park,4820 N Kedzie Ave
NEAR NORTH SIDE,730 North Michigan Avenue
EDGEWATER,5858 North Broadway Street
HUMBOLDT PARK,440 N. Drake Ave
Hyde Park,5500 South University Ave
NEAR NORTH SIDE,100 East Chestnut
GAGE PARK,5250 S Rockwell St
West Town,1521 W North Avenue
HYDE PARK,5715-35 S Ellis Ave
HUMBOLDT PARK,1116 N Kedzie Ave
NEAR NORTH SIDE,1430 Lake Shore Drive
LAKE VIEW,540 W SURF ST
LOOP,651 S. Wells
ASHBURN,8130 S. California Ave
NEAR WEST SIDE,33 S Ashland Ave
LINCOLN PARK,2320 N. Kenmore
EDGEWATER,1055 W. Catalpa Ave.
LOOP,170 N Dearborn Ave
LOOP,318 West Adams
LINCOLN SQUARE,4455 N. Lincoln Ave.
LOOP,7 West Madison Street
LOOP,71 S. Wacker Drive
CHICAGO LAWN,6308 6320 S KEDZIE AVE
UPTOWN,4701 N. Beacon St
IRVING PARK,3121 W Byron St
LAKE VIEW,1650 W Cornelia Ave
HERMOSA,4343 W Wrightwood Ave
NEAR NORTH SIDE,225 E Chicago Ave
KENWOOD,1645-49 E 50th Street
NEAR NORTH SIDE,421 W. Huron
ROSELAND,9501 South Martin Luther King Drive
NORTH PARK,5040 N. Pulaski Road
Near North Side,820 N. Orleans St.
NORTH LAWNDALE,1616 S SPAULDING AVE
NEAR NORTH SIDE,1530 N Dayton St
NEAR WEST SIDE,913-921 W. Van Buren St. & 411 S. Sangamon
NEAR NORTH SIDE,626 640 N Michigan
LAKE VIEW,1601 West School Street
LOOP,225 West Wacker Drive
WASHINGTON PARK,5726 5744 S DR MARTIN LUTHER KING JR DR
NEAR NORTH SIDE,21 E Huron Street
Near North Side,820 N. Orleans St.
LOOP,24 East Congress Parkway
ROGERS PARK,7347-65 Sheridan Rd
NEAR WEST SIDE,901-903 S Ashland Ave
LINCOLN PARK,642 West Deming Place
Edgewater,5556 N Sheridan
LOOP,100 W. Randolph St.
NEAR NORTH SIDE,1212 N Lake Shore Drive
NEAR WEST SIDE,333 N. Jefferson
NEAR NORTH SIDE,330 North Wabash
LAKE VIEW,1333 West Belmont
LOOP,30 E Adams
NEAR NORTH SIDE,451 W. Huron St.
HYDE PARK,929 East 57th Street
NEW CITY,1400-24 W. 47th Street
NEAR WEST SIDE,307 S Sangamon St
BRIDGEPORT,533 W 27TH ST
LAKE VIEW,3520 N. Lake Shore Drive
LOOP,125 S Clark St
SOUTH CHICAGO,8441 S Yates Blvd
NEAR WEST SIDE,1250 W. Van Buren St.
HYDE PARK,5801-11 S. Dorchester Ave.
DUNNING,6408-6450 West Irving Park
NEAR WEST SIDE,1111 S. Ashland Ave.
NEAR SOUTH SIDE,1322 S. Prairie Ave
HYDE PARK,1100 East 57th Street
NEAR NORTH SIDE,600 N Dearborn St.
LOOP,200 West Madison
NEAR NORTH SIDE,1260 N Astor St
NEAR NORTH SIDE,199 E LAKE SHORE DR
LOOP,208 W. Washington Street
NEAR NORTH SIDE,1155 N Dearborn
NEAR NORTH SIDE,455 North Cityfront Plaza Drive
FOREST GLEN,4801 West Peterson
Near West Side,1524 and 1525 S Sangamon Street
LOOP,10 South Wacker Drive
NEAR NORTH SIDE,300 E. Ohio Street
WEST GARFIELD PARK,3828 W Taylor St.
LOOP,33 W. Monroe Street
LOOP,8 S. Michigan Ave
WEST ELSDON,5320 S Pulaski
Portage Park,4655 W. Berteau
NORWOOD PARK,6312 N. Nagle Ave
LOOP,25 East Washington Street
KENWOOD,1606 E. Hyde Park Boulevard
NEAR NORTH SIDE,411 W. Ontario Street
HYDE PARK,5734 South Ellis Avenue
LOOP,76 East Monroe Street
NEAR NORTH SIDE,1122 N Clark St
CHICAGO LAWN,6011 S Rockwell St
GRAND BOULEVARD,4314 S. Wabash Ave.
NEAR NORTH SIDE,142 E Ontario
LOOP,50 S. LaSalle
WEST GARFIELD PARK,4409 W Wilcox St
LINCOLN PARK,900 W Fullerton
OAKLAND,4048 S. Lake Park
NEAR NORTH SIDE,540 N. Lake Shore Drive
HYDE PARK,5736 S Stony Island Avenue
SOUTH SHORE,7355 S Jeffrey Blvd
LOOP,20 North Wacker Drive
LINCOLN PARK,1845 N. Larrabee St
NEAR NORTH SIDE,46-64 W. Hubbard St.
WEST PULLMAN,221 E 121st Place
NEAR WEST SIDE,933 W. Van Buren St.
NEAR WEST SIDE,1645 W Ogden
EDGEWATER,6300 North Sheridan
Kenwood,4816-4828 S. Dorchester
NEAR NORTH SIDE,1000 N Lake Shore Drive
UPTOWN,4334 N Hazel St
NEAR NORTH SIDE,1030 W Division Street
SOUTH LAWNDALE,2819 W 21st Place
HYDE PARK,5824 S. Ellis Ave.
GRAND BOULEVARD,4655 S DEARBORN ST
LOOP,131 S. Dearborn
WEST TOWN,1501 N Greenview Ave
LOOP,209 W. Jackson
LOOP,208 S La Salle
NEAR WEST SIDE,565 West Quincy
LAKE VIEW,2800 N Pine Grove Avenue
LINCOLN SQUARE,5145 N Leavitt St
NEAR NORTH SIDE,232 E Walton
NEAR NORTH SIDE,640 N Wells Street
WASHINGTON PARK,5630 S MICHIGAN AVE
LOOP,100 N LaSalle St.
NEAR WEST SIDE,1340 W Harrison St
LAKE VIEW,813 831 W WAVELAND AVE
NEAR NORTH SIDE,108 East Superior St.
HUMBOLDT PARK,4127 W Hirsch St
UPTOWN,711 W Gordon Terrace
NEAR WEST SIDE,1200 W. Monroe St.
NEW CITY,4436 S Union Ave
AUSTIN,335 N. Menard Avenue
WEST RIDGE,7141 N Kedzie
LINCOLN PARK,2312 N. Clifton
LAKE VIEW,533-549 W BARRY AVE
NEAR NORTH SIDE,1550 N. Kingsbury St.
LINCOLN PARK,1435-71 Webster Place
WEST GARFIELD PARK,4409 W Wilcox St
BRIGHTON PARK,3456 W 38th Street
HUMBOLDT PARK,3656 W. Huron Street
SOUTH SHORE,7059 South South Shore Drive
